# index	t(s)	pos.x	pos.y	pos.z	rot.x	rot.y	rot.z
0	0.000	-8.600	5.633	-17.440	0.000	-10.000	0.000
1	0.800	-9.200	6.219	-16.847	0.000	-20.000	0.000
2	1.600	-9.800	6.796	-16.145	0.000	-30.000	0.000
3	2.400	-10.400	7.338	-15.351	0.000	-40.000	0.000
4	3.200	-11.000	7.822	-14.481	0.000	-50.000	0.000
5	4.000	-11.600	8.225	-13.555	0.000	-60.000	0.000
6	4.800	-12.200	8.530	-12.595	0.000	-70.000	0.000
7	5.600	-14.600	8.582	-8.836	0.000	-90.000	0.000
8	6.400	-17.600	6.344	-5.815	0.000	-90.000	0.000
9	7.200	-20.000	4.160	-5.767	0.000	-90.000	0.000
10	8.000	-20.600	3.761	-6.113	0.000	-90.000	0.000
11	8.800	-23.600	3.428	-9.570	0.000	-90.000	0.000
12	9.600	-26.000	5.107	-13.398	0.000	-90.000	0.000
13	10.400	-28.400	7.380	-16.738	0.000	-90.000	0.000
14	11.200	-30.800	8.735	-18.423	0.000	-90.000	0.000
15	12.000	-32.600	8.563	-18.217	0.000	-90.000	0.000
16	12.800	-33.800	7.880	-17.379	0.000	-90.000	0.000
17	13.600	-36.800	5.136	-13.449	0.000	-90.000	0.000
18	14.400	-39.200	3.440	-9.618	0.000	-90.000	0.000
19	15.200	-41.600	3.447	-6.619	0.000	-90.000	0.000
20	16.000	-44.000	5.151	-5.500	0.000	-90.000	0.000
21	16.800	-47.000	7.892	-7.264	0.000	-90.000	0.000
22	17.600	-50.000	8.732	-11.569	0.000	-90.000	0.000
23	18.400	-51.800	7.845	-14.433	0.000	-90.000	0.000
