# index	t(s)	pos.x	pos.y	pos.z	rot.x	rot.y	rot.z
0	0.000	-8.600	5.633	-17.440	0.000	-10.000	0.000
1	0.800	-9.200	6.219	-16.847	0.000	-20.000	0.000
2	1.600	-9.800	6.796	-16.145	0.000	-30.000	0.000
3	2.400	-10.400	7.338	-15.351	0.000	-40.000	0.000
4	3.200	-11.000	7.822	-14.481	0.000	-50.000	0.000
5	4.000	-11.600	8.225	-13.555	0.000	-60.000	0.000
6	4.800	-12.200	8.530	-12.595	0.000	-70.000	0.000
7	5.600	-14.600	8.582	-8.836	0.000	-90.000	0.000
8	6.400	-17.600	6.344	-5.815	0.000	-90.000	0.000
9	7.200	-20.000	4.160	-5.767	0.000	-90.000	0.000
10	8.000	-20.600	3.761	-6.113	0.000	-90.000	0.000
11	8.800	-23.600	3.428	-9.570	0.000	-90.000	0.000
12	9.600	-26.000	5.107	-13.398	0.000	-90.000	0.000
13	10.400	-28.400	7.380	-16.738	0.000	-90.000	0.000
14	11.200	-30.800	8.735	-18.423	0.000	-90.000	0.000
15	12.000	-32.600	8.563	-18.217	0.000	-90.000	0.000
16	12.800	-33.800	7.880	-17.379	0.000	-90.000	0.000
17	13.600	-36.800	5.136	-13.449	0.000	-90.000	0.000
18	14.400	-39.200	3.440	-9.618	0.000	-90.000	0.000
19	15.200	-41.600	3.447	-6.619	0.000	-90.000	0.000
20	16.000	-44.000	5.151	-5.500	0.000	-90.000	0.000
21	16.800	-47.000	7.892	-7.264	0.000	-90.000	0.000
22	17.600	-50.000	8.732	-11.569	0.000	-90.000	0.000
23	18.400	-51.800	7.845	-14.433	0.000	-90.000	0.000
24	18.400	-51.800	6.739	-15.936	0.000	199.105	0.000
25	19.200	-49.922	6.739	-10.514	0.000	206.043	0.000
26	20.000	-48.043	6.739	-6.670	0.000	238.617	0.000
27	20.800	-46.165	6.739	-5.524	0.000	315.115	0.000
28	21.600	-44.287	6.739	-7.410	0.000	336.734	0.000
29	22.400	-42.409	6.739	-11.779	0.000	341.393	0.000
30	23.200	-40.530	6.739	-17.357	0.000	340.017	0.000
31	24.000	-38.652	6.739	-22.523	0.000	329.956	0.000
32	24.800	-36.774	6.739	-25.770	0.000	281.563	0.000
33	25.600	-34.896	6.739	-26.154	0.000	215.941	0.000
34	26.400	-33.017	6.739	-23.564	0.000	201.324	0.000
35	27.200	-31.139	6.739	-18.752	0.000	198.445	0.000
36	28.000	-29.261	6.739	-13.121	0.000	201.324	0.000
37	28.800	-27.383	6.739	-8.309	0.000	215.941	0.000
38	29.600	-25.504	6.739	-5.718	0.000	281.563	0.000
39	30.400	-23.626	6.739	-6.103	0.000	329.956	0.000
40	31.200	-21.748	6.739	-9.350	0.000	340.017	0.000
41	32.000	-19.870	6.739	-14.515	0.000	341.393	0.000
42	32.800	-17.991	6.739	-20.094	0.000	336.733	0.000
43	33.600	-16.113	6.739	-24.462	0.000	315.115	0.000
44	34.400	-14.235	6.739	-26.348	0.000	238.617	0.000
45	35.200	-12.357	6.739	-25.203	0.000	206.043	0.000
46	36.000	-10.478	6.739	-21.359	0.000	199.105	0.000
47	36.800	-8.600	6.739	-15.936	0.000	270.000	0.000
